lambda,ridge_cv_rmse,ridge_cv_std
0.001,0.794985633868761,0
0.0016155980984398745,0.7949370653034447,0
0.0026101572156825357,0.7948587867680981,0
0.004216965034285823,0.7947328100796032,0
0.006812920690579615,0.794530550027911,0
0.011006941712522098,0.7942070412527363,0
0.01778279410038923,0.7936927048240371,0
0.028729848333536655,0.7928826990408803,0
0.046415888336127795,0.7916257180543405,0
0.07498942093324558,0.7897183115832183,0
0.12115276586285889,0.7869177251611246,0
0.19573417814876617,0.7829917130756969,0
0.31622776601683794,0.7778141640976246,0
0.510896977450693,0.7714752053092855,0
0.825404185268019,0.7643236211099544,0
1.333521432163324,0.7568793886229692,0
2.1544346900318843,0.7496906098211543,0
3.4807005884284132,0.7433136850035535,0
5.623413251903491,0.7384715485365518,0
9.085175756516872,0.7362390602938543,0
14.677992676220706,0.7381273175943494,0
23.71373705661655,0.7460936009866367,0
38.31186849557293,0.7625107620532073,0
61.8965818891261,0.7900411330212755,0
100.0,0.8314001667284225,0
