lambda,lasso_cv_rmse,lasso_cv_std
0.001,0.7910036704003124,0
0.0016155980984398745,0.7906019173773896,0
0.0026101572156825357,0.7899642106714035,0
0.004216965034285823,0.7889448690596289,0
0.006812920690579615,0.7873171961612921,0
0.011006941712522098,0.784757490220304,0
0.01778279410038923,0.7810872193158462,0
0.028729848333536655,0.7760831050446981,0
0.046415888336127795,0.770430811637331,0
0.07498942093324558,0.7648847068997086,0
0.12115276586285889,0.7587201378589112,0
0.19573417814876617,0.7517637554586039,0
0.31622776601683794,0.7507843225734379,0
0.510896977450693,0.7525016228165992,0
0.825404185268019,0.7569400263246511,0
1.333521432163324,0.7684060666931175,0
2.1544346900318843,0.7980545391427376,0
3.4807005884284132,0.8451631321450599,0
5.623413251903491,0.9137288991427678,0
9.085175756516872,1.0368129344220407,0
14.677992676220706,1.2361085625229324,0
23.71373705661655,1.509868538757723,0
38.31186849557293,1.8563145018723375,0
61.8965818891261,2.1583959470714618,0
100.0,2.2504406525318545,0
